LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
6690;STACJA PALIW;K.J.G. COMPANY SP.Z O.O.;RYDZA ŚMIGŁEGO 30;CZĘSTOCHOWA;42-200;ŚLĄSKIE;CZĘSTOCHOWA;X;;X;;;;;;;X;
6691;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;JANA PAWŁA II 103/109;CZĘSTOCHOWA;42-216;ŚLĄSKIE;CZĘSTOCHOWA;X;X;X;;;;;;;X;
6692;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;WOJSKA POLSKIEGO 260;CZĘSTOCHOWA;42-200;ŚLĄSKIE;CZĘSTOCHOWA;X;X;X;;;;;;;X;
6693;STACJA PALIW;GEMM PUTUR SPÓŁKA JAWNA (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7115);JAGIELLOŃSKA 113;CZĘSTOCHOWA;42-202;ŚLĄSKIE;CZĘSTOCHOWA;X;X;X;;;;;;;X;
6694;STACJA PALIW;STACJA PALIW PIAST S.C J.KUMPIN, M.JĘDRZEJCZYK,;REJTANA 25/35;CZĘSTOCHOWA;42-200;ŚLĄSKIE;CZĘSTOCHOWA;X;;X;;;;;;;;
6695;STACJA PALIW;PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE "PLACZYŃSKI-PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŻYZNA 1;CZĘSTOCHOWA;42-200;ŚLĄSKIE;CZĘSTOCHOWA;X;X;X;;;;;;;X;
6696;STACJA PALIW;STACJA PALIW PŁYNNYCH LESZEK OKRĘGLICKI;BIALSKA 20;CZĘSTOCHOWA;42-202;ŚLĄSKIE;CZĘSTOCHOWA;X;;X;;;;;;;;
6697;STACJA PALIW;PKS GIEŁDA SP.Z O.O.;LEGIONÓW;CZĘSTOCHOWA;42-200;ŚLĄSKIE;CZĘSTOCHOWA;X;;X;;;;;;;;
6698;STACJA PALIW;STACJA PALIW PPHU ALKA;MYŚLIWSKA 1;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;;;X;;;;;;;;
6699;STACJA PALIW;FENIX ALONA DOROKHOVA;LEGIONÓW POLSKICH 15;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;;;;;;;;;;X;
6700;STACJA PALIW;STACJA LPG ”GAZ-MOT” S.C.;PIŁSUDSKIEGO 60;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;;;;;;;;;;X;
6701;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4451;KATOWICKA 30;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6702;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KRÓLOWEJ JADWIGI 52;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6703;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 49);LEGIONÓW POLSKICH 2;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6704;STACJA PALIW;PE-EM SP.Z O.O.;KASPRZAKA 256;DĄBROWA GÓRNICZA;41-303;ŚLĄSKIE;DĄBROWA GÓRNICZA;;;X;;;;;;;;
6705;STACJA PALIW;"ELBAH II" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIŁSUDSKIEGO 68;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;;X;;;;;;;X;
6706;STACJA PALIW;STACJA PALIW LUKOIL (AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ);TWORZEŃ 127;DĄBROWA GÓRNICZA;41-303;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;;X;;;;;;;X;
6707;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;11 LISTOPADA 30;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;;X;;;;;;;X;
6708;STACJA PALIW;"BATIM" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ (INTERMARCHE);PIŁSUDSKIEGO 87;DĄBROWA GÓRNICZA;41-303;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6709;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KASPRZAKA 84;DĄBROWA GÓRNICZA;41-308;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6710;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIŁSUDSKIEGO 15;DĄBROWA GÓRNICZA;41-303;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6711;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;JÓZEFA PIŁSUDSKIEGO 2J;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;;
6712;STACJA PALIW;AUTO-EKO-GAZ MACIEJKOWICZ ELŻBIETA, GANCARCZYK IWONA, GANCARCZYK WŁADYSŁAW SP.J. (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7042);SOBIESKIEGO 14;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6713;STACJA PALIW;MDM OKTAN WŁODARCZYK-MUSIAŁ WSPÓLNICY SP.J;KASPRZAKA 25D;DĄBROWA GÓRNICZA;41-303;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;;X;;;;;;;;
6714;STACJA PALIW;PETRO-SILESIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;ŁASKOWA 165A;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;;X;;;;;;;;
6715;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 3004);SOBIESKIEGO 69;DĄBROWA GÓRNICZA;41-300;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6716;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 969);SZOSOWA 1;DĄBROWA GÓRNICZA (ZĄBKOWICE);42-520;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6717;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;ŚWIĘTEGO JANA PAWŁA II 22;DĄROWA GÓRNICZA;42-520;ŚLĄSKIE;DĄBROWA GÓRNICZA;X;X;X;;;;;;;X;
6718;STACJA PALIW;TOMASZ BROŻEK FUH;TRAUGUTTA 14;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;;;;;;;;;;X;
6719;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;RYBNICKA 150;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6720;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;ŁABĘDZKA 44;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6721;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4087;PSZCZYŃSKA 52;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6722;STACJA PALIW;HYPEROIL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;RYBNICKA 207;GLIWICE;44-122;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6723;STACJA PALIW;AGNIESZKA SADKOWSKA;JAGODOWA 6;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6724;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TARNOGÓRSKA 19A;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6725;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;TARNOGÓRSKA 188;GLIWICE;44-102;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6726;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;OKRĘŻNA 32;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6727;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4627;KOZIELSKA 128;GLIWICE;44-107;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6728;STACJA PALIW;GLIWICEDIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (LECLERC);RYBNICKA 148;GLIWICE;44-121;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6729;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 7331);TARNOGÓRSKA / KOLEBERGA;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;;
6730;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TOSZECKA 7A;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6731;STACJA PALIW;PHU EXPORT IMPORT TRANS ROTONDO TADEUSZ SUCHECKI;SPACEROWA 24;GLIWICE;44-141;ŚLĄSKIE;GLIWICE;;;X;;;;;;;;
6732;STACJA PALIW;POLSKIE STACJE PALIW "Z.K. TRANSOIL" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ SPÓŁKA KOMANDYTOWA;KOLBERGA 51;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6733;STACJA PALIW;"CARREFOUR" POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;JANA NOWAKA JEZIORAŃSKIEGO 1;GLIWICE;44-102;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6734;STACJA PALIW;DAMM A. HELIOSZ;BŁONIE 12;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;;;X;;;;;;;;
6735;STACJA PALIW;TESCO POLSKA SP. Z O.O.;ŁABĘDZKA 26;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6736;STACJA PALIW;BUMAR ŁABĘDY;MECHANIKÓW 9;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;;;X;;;;;;;;
6737;STACJA PALIW;PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ SPÓŁKA AKCYJNA;TOSZECKA  11;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6738;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 626;SIKORSKIEGO 115;GLIWICE;44-103;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6739;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 509;TOSZECKA 8;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6740;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TARNOGÓRSKA 163;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6741;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TOSZECKA 100;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6742;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1393;PSZCZYŃSKA 318;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6743;STACJA PALIW;MGR GRUPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PSZCZYŃSKA 111;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;;X;;;;;;;X;
6744;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;RYBNICKA 31;GLIWICE;44-122;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6745;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PSZCZYŃSKA 100A;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6746;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TOSZECKA 135;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6747;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;RYBNICKA 159;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6748;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;JAROSŁAWA DĄBROWSKIEGO 18;GLIWICE;44-100;ŚLĄSKIE;GLIWICE;X;X;X;;;;;;;X;
6749;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4308);AL. PIŁSUDSKIEGO 66;JASTRZEBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6750;STACJA PALIW;P.T.H.U. BIELASZKA STANISŁAW BIELASZKA;PSZCZYŃSKIEJ 8;JASTRZĘBIE;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6751;STACJA PALIW;FUH AUTO-MIX RYSZARD SZMUK (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7359);RANOSZKA 103;JASTRZĘBIE ZDRÓJ;44-338;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6752;STACJA PALIW;WASBRUK SP. Z O.O.;RYBNICKA 14B;JASTRZĘBIE ZDRÓJ;44-268;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;;X;;;;;;;X;
6753;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIŁSUDSKIEGO 2;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6754;STACJA PALIW;EKO-TRANS;PODHALAŃSKA 25A;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;;;;;;;;;;X;
6755;STACJA PALIW;"H.B. CRAB" SPÓŁKA JAWNA, STACJA PALIW ZAJĄC ADAM, BĄK PAWEŁ, PIESTRAK KRZYSZTOF;ARMII KRAJOWEJ 61;JASTRZĘBIE-ZDRÓJ;44-338;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6756;STACJA PALIW;STACJA PALIW;GÓRNICZA;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;;X;;;;;;;;
6757;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;CIESZYŃSKA 9;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;;X;;;;;;;X;
6758;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;WODZISŁAWSKA 1;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6759;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;AL. JÓZEFA PIŁSUDSKIEGO 33;JASTRZĘBIE-ZDRÓJ;44-335;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;X;X;;;;;;;X;
6760;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 115);JAGIEŁŁY 3;JASTRZĘBIE-ZDRÓJ;44-330;ŚLĄSKIE;JASTRZĘBIE-ZDRÓJ;X;;X;;;;;;;X;
6761;STACJA PALIW;HUBER - POLSKA SP.Z O.O.;GRUNWALDZKA 264;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;;;X;;;;;;;;
6762;STACJA PALIW;GRAMEX RAFAŁ GRZYWA;RZEMIEŚLNICZA 16;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6763;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WOJSKA POLSKIEGO 2;JAWORZNO;43-603;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6764;STACJA PALIW;B-TRANS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ (FR. ORLEN);KRAKOWSKA 6C;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6765;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KRAKOWSKA 66;JAWORZNO;43-607;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6766;STACJA PALIW;PUH "W. W." JOANNA ANTONOWICZ;EMILA ZEGADŁOWICZA 27;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;;
6767;STACJA PALIW;BRZEZIŃSKI PIOTR KA-TER;CHOPINA 96;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6768;STACJA PALIW;MAT-TRANS SP.Z O.O.;BARANOWSKIEGO 216;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;;
6769;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KRAKOWSKA 10D;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6770;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 4489;WOJSKA POLSKIEGO 2I;JAWORZNO;43-603;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6771;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 405;TRASA A4;JAWORZNO;43-607;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6772;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;WOJSKA POLSKIEGO 17;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6773;STACJA PALIW;ABAWO MICHAŁ CIUPEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PART. SHELL);WOJSKA POLSKIEGO 2EA;JAWORZNO;43-603;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6774;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIŁSUDSKIEGO 55;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6775;STACJA PALIW;STACJA PALIW LUKOIL (AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ);KATOWICKA 5A;JAWORZNO;43-603;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6776;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 646);AUTOSTRADA A4 (MOP ZASTAWIE);JAWORZNO;43-607;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6777;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4350);KRAKOWSKA 12;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;X;X;;;;;;;X;
6778;STACJA PALIW;"CARREFOUR" POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WOJSKA POLSKIEGO 2D;JAWORZNO;43-603;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;;
6779;STACJA PALIW;PRO-CAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KRAKOWSKA 129;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;X;
6780;STACJA PALIW;PHU REMWAL;GRUNWALDZKA 264;JAWORZNO;43-600;ŚLĄSKIE;JAWORZNO;X;;X;;;;;;;;
6781;STACJA PALIW;STACJA PALIW;BATOREGO;JAWORZNO-SZCZAKOWA;43-602;ŚLĄSKIE;JAWORZNO;;;X;;;;;;;;
6782;STACJA PALIW;"CARREFOUR POLSKA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ROŹDZIEŃSKIEGO 200;KATOWICE;40-315;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6783;STACJA PALIW;STACJA LPG;AL. WOJCIECHA KORFANTEGO 191;KATOWICE;40-153;ŚLĄSKIE;KATOWICE;;;;;;;;;;X;
6784;STACJA PALIW;IWONA EJZERMAN SPEEDGAZ;CEGLANA 11;KATOWICE;40-512;ŚLĄSKIE;KATOWICE;;;;;;;;;;X;
6785;STACJA PALIW;KOMA BOGDAN MACIEJUK, PAWEŁ KOSTECKI SPÓŁKA JAWNA;DOBREGO UROBKU 35;KATOWICE;40-810;ŚLĄSKIE;KATOWICE;;;;;;;;;;X;
6786;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;MYSŁOWICKA 82;KATOWICE;40-453;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6787;STACJA PALIW;PRZEDSIĘBIORSTOWO HANDLOWO-USŁUGOWE "TRANS-OIL" SP. Z O.O;ROŹDZIEŃSKIEGO 188A;KATOWICE;40-203;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;X;
6788;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4608;FRANCUSKA 105;KATOWICE;40-718;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6789;STACJA PALIW;K.I.G. KONSORCJUM INWESTYCJI GOSPODARCZYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (FR. ORLEN);BOCHEŃSKIEGO 99;KATOWICE;40-859;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6790;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;BOCHEŃSKIEGO 119;KATOWICE;40-846;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6791;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOŚCIUSZKI 330;KATOWICE;40-608;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6792;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 12;MURCKOWSKA 5;KATOWICE;40-266;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6793;STACJA PALIW;AMIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOLISTA 5;KATOWICE;40-486;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6794;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;GÓRNOŚLĄSKA 55;KATOWICE;40-511;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6795;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŚCIEGIENNEGO 58;KATOWICE;40-546;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;;
6796;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PROWANSALSKA 7;KATOWICE;40-503;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;;
6797;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PRZEMYSŁOWA 3;KATOWICE;40-020;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;X;
6798;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁONECZNA 25;KATOWICE;40-136;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;X;
6799;STACJA PALIW;MAKRO CASH AND CARRY POLSKA SPÓŁKA AKCYJNA;PUKOWCA 25;KATOWICE;40-847;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;;
6800;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LWOWSKA 19;KATOWICE;40-389;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;X;
6801;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PAŁWA KOŁODZIEJA 10;KATOWICE;40-749;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
6802;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;GENERAŁA JANKEGO 15;KATOWICE;40-546;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;;
6803;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOŚCIUSZKI 231;KATOWICE;40-610;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;;
6804;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 3010);KOŚCIUSZKI / LECHICKA;KATOWICE;40-608;ŚLĄSKIE;KATOWICE;X;;X;;;;;;;;
6805;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4457;PIOTROWICKA 92;KATOWICE;40-723;ŚLĄSKIE;KATOWICE;X;X;X;;;;;;;X;
